id,drawdate,num_1,num_2,num_3,num_4,num_5,created_at,updated_at
5046,2023-10-12,33,38,24,39,27,2023-10-12 00:00:00.0000,2023-10-12 00:00:00.0000
5047,2023-10-13,2,4,5,22,18,2023-10-13 00:00:00.0000,2023-10-13 00:00:00.0000
5048,2023-10-14,26,1,16,8,4,2023-10-14 00:00:00.0000,2023-10-14 00:00:00.0000
5049,2023-10-16,9,18,10,31,3,2023-10-16 00:00:00.0000,2023-10-16 00:00:00.0000
5050,2023-10-17,14,38,10,13,6,2023-10-17 00:00:00.0000,2023-10-17 00:00:00.0000
5051,2023-10-18,27,28,11,3,2,2023-10-18 00:00:00.0000,2023-10-18 00:00:00.0000
5052,2023-10-19,9,6,11,7,26,2023-10-19 00:00:00.0000,2023-10-19 00:00:00.0000
5053,2023-10-20,22,10,8,23,36,2023-10-20 00:00:00.0000,2023-10-20 00:00:00.0000
5054,2023-10-21,4,30,34,16,22,2023-10-21 00:00:00.0000,2023-10-21 00:00:00.0000
5055,2023-10-23,1,4,15,29,35,2023-10-23 00:00:00.0000,2023-10-23 00:00:00.0000
5056,2023-10-24,33,28,9,39,36,2023-10-24 00:00:00.0000,2023-10-24 00:00:00.0000
5057,2023-10-25,5,38,19,13,33,2023-10-25 00:00:00.0000,2023-10-25 00:00:00.0000
5058,2023-10-26,10,37,15,26,16,2023-10-26 00:00:00.0000,2023-10-26 00:00:00.0000
5059,2023-10-27,9,1,5,3,25,2023-10-27 00:00:00.0000,2023-10-27 00:00:00.0000
5060,2023-10-28,36,31,1,10,5,2023-10-28 00:00:00.0000,2023-10-28 00:00:00.0000
5061,2023-10-30,22,30,38,15,27,2023-10-30 00:00:00.0000,2023-10-30 00:00:00.0000
5062,2023-10-31,36,9,3,29,39,2023-10-31 00:00:00.0000,2023-10-31 00:00:00.0000
5063,2023-11-01,26,23,35,33,11,2023-11-01 00:00:00.0000,2023-11-01 00:00:00.0000
5064,2023-11-02,7,33,6,3,37,2023-11-02 00:00:00.0000,2023-11-02 00:00:00.0000
5065,2023-11-03,16,19,18,4,17,2023-11-03 00:00:00.0000,2023-11-03 00:00:00.0000
5066,2023-11-04,27,37,12,5,24,2023-11-04 00:00:00.0000,2023-11-04 00:00:00.0000
